epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.712,0.91882,1.94914,1.34082,0.62256,0.40508,0.38733,0.28176,0.87278,1.43459,1.28422,0.000195686,0.000195686,0.000195686
2,276.807,0.95243,1.58545,1.33766,0.52965,0.42215,0.41149,0.29258,0.97387,1.42395,1.36142,0.000376176,0.000376176,0.000376176
3,413.256,0.96577,1.55869,1.34652,0.64121,0.43939,0.45919,0.33721,0.89543,1.28016,1.30813,0.000541142,0.000541142,0.000541142
4,549.474,0.93209,1.47727,1.32311,0.68723,0.44631,0.48214,0.365,0.85022,1.17323,1.24722,0.000518146,0.000518146,0.000518146
5,689.097,0.88942,1.37721,1.2883,0.67623,0.45799,0.49378,0.38634,0.7842,1.10518,1.19159,0.000494861,0.000494861,0.000494861
6,828.192,0.86081,1.30784,1.26902,0.64731,0.49159,0.53642,0.42309,0.77387,1.0167,1.17303,0.000471576,0.000471576,0.000471576
7,967.073,0.83114,1.25704,1.24935,0.73895,0.49969,0.56701,0.45426,0.73082,0.9498,1.14993,0.000448291,0.000448291,0.000448291
8,1106.05,0.81186,1.21104,1.23436,0.70166,0.53836,0.587,0.47462,0.70607,0.927,1.11453,0.000425006,0.000425006,0.000425006
9,1247.31,0.79156,1.162,1.21418,0.63941,0.57932,0.60467,0.48589,0.70541,0.93664,1.11197,0.000401722,0.000401722,0.000401722
10,1390.18,0.77233,1.12934,1.20427,0.58862,0.60247,0.60779,0.49699,0.67529,0.87899,1.09234,0.000378437,0.000378437,0.000378437
11,1533.06,0.75689,1.08806,1.19121,0.73946,0.55588,0.62048,0.50438,0.67883,0.86718,1.09392,0.000355152,0.000355152,0.000355152
12,1670.72,0.74342,1.05114,1.18371,0.74515,0.56594,0.64464,0.53044,0.67975,0.83096,1.07926,0.000331867,0.000331867,0.000331867
13,1807.91,0.73402,1.03045,1.17815,0.5543,0.6439,0.65445,0.54092,0.67109,0.83311,1.08199,0.000308582,0.000308582,0.000308582
14,1945.29,0.72172,1.00837,1.1662,0.68754,0.62943,0.66099,0.54995,0.64455,0.77752,1.06767,0.000285298,0.000285298,0.000285298
15,2082.54,0.70866,0.97322,1.15969,0.53032,0.66683,0.65305,0.54287,0.65406,0.78445,1.06564,0.000262013,0.000262013,0.000262013
16,2219.98,0.638,0.74046,1.10984,0.61287,0.62608,0.66846,0.55652,0.64482,0.78092,1.04806,0.000238728,0.000238728,0.000238728
17,2357.14,0.62551,0.70422,1.09686,0.58964,0.6629,0.66985,0.56132,0.62553,0.7736,1.06023,0.000215443,0.000215443,0.000215443
18,2494.32,0.61594,0.67365,1.10042,0.62027,0.6705,0.69251,0.58078,0.62042,0.75304,1.03888,0.000192158,0.000192158,0.000192158
19,2631.49,0.59639,0.63936,1.08423,0.66599,0.61566,0.68739,0.58203,0.61797,0.76409,1.04592,0.000168874,0.000168874,0.000168874
20,2768.37,0.57873,0.60538,1.06792,0.64972,0.6947,0.70253,0.59103,0.62032,0.73667,1.03928,0.000145589,0.000145589,0.000145589
21,2906.83,0.56898,0.57215,1.05501,0.64948,0.66607,0.70229,0.59597,0.61916,0.7369,1.03253,0.000122304,0.000122304,0.000122304
22,3049.58,0.55636,0.53952,1.04573,0.64197,0.67839,0.70961,0.607,0.60822,0.73655,1.03846,9.90192e-05,9.90192e-05,9.90192e-05
23,3186.85,0.53964,0.50378,1.04058,0.59238,0.71778,0.72237,0.618,0.60424,0.72464,1.03096,7.57344e-05,7.57344e-05,7.57344e-05
24,3321.61,0.52505,0.47041,1.02402,0.6467,0.68899,0.71617,0.61224,0.59997,0.73501,1.02835,5.24496e-05,5.24496e-05,5.24496e-05
25,3454.28,0.51173,0.43865,1.01462,0.65687,0.67935,0.72188,0.61934,0.59924,0.7282,1.02815,2.91648e-05,2.91648e-05,2.91648e-05
